fname,summary
test_98,"수잔에게 캐롤의 파티가 내일 밤 8시 반에 질의 집에서 열리며, 디저트를 가져오고 싶으면 가져오라고 전달함."
test_99,가를 어디서 본 것 같다고 기억하려 하지만는 아니라고 하며 결국가 Whole Bean Cafe에서 일하는 것을 기억함.
test_100,"두 사람이 트럼프의 재선 여부와 정치적 견해에 대해 논의함. 한 명은 트럼프를 지지하고, 다른 한 명은 바이든을 지지함."
test_101,한 동료가 다른 동료에게 ATM 사용법을 도와줌.
test_102,수잔 밀러가 John에게 사무실 절차 메모의 위치를 물어봄.
test_103,강가 소풍을 제안하고 준비 사항을 알려줌.
test_104,대화자들이 중국 연회와 식탁 예절에 대해 이야기함. 특히 젓가락 사용법과 그 의미에 대해 설명함.
test_105,Tom과 Mary가 영화 취향과 영화 관람 습관에 대해 이야기함.
test_106,"대화에서는 녹색당에 가입을 고려했지만, 그린피스 회원이었으나 시간 부족으로 활동하지 못했다고 밝힘. 녹색당의 선거 승리 가능성을 낮게 보지만, 는 작은 정치 단체나 압력 단체가 큰 정당에 영향을 미칠 수 있다고 설명함. 두 사람은 대부분의 사람들이 정치에 대해 잘 알지 못한다는 점에 동의하며, 미디어가 정치 사건을 보도하지만 사람들이 항상 문제를 완전히 이해하지 못한다는 점을 지적함."
test_107,"상품 문제에 대해 사과하고 해결책을 제시함. 책임을 묻고, 는 재발 방지를 약속함."
test_108,은행 강도 사건 목격자가 경찰서에서 진술하기로 함.
test_109,두 친구가 부모님의 데이트로 각자 저녁을 해결하고 피자를 주문하기로 함.
test_110,새해 결심으로 다이어트 계획을 공유함. 그러나과거 실패를 언급하며 회의적임.
test_111,"학생이 Comp Lit 287 수업 등록을 위해 학과 사무실을 방문하고, 직원이 특별 코드를 제공하여 등록을 도와줌."
test_112,"길을 가던 중년 남성이 시간을 물어본 사람에게 우산을 함께 쓰자고 제안하고, 같은 목적지로 가는 것을 알게 되어 함께 가기로 함."
test_113,Daisy가 Jack의 새 차를 타보며 감탄함.
test_114,고객이 큰불 발생 시간을 문의하고 직원은 대략 10시라고 답변함.
test_115,손님이 계산 중 서비스 요금 문제로 신용카드로 결제하고 포장을 요청함.
test_116,고객이 직원에게 일반 세차 패키지 서비스를 요청함.
test_117,"두 친구가 휴가 계획에 대해 논의함. 해리는 해외 여행을 고려 중이지만, 아내의 걱정과 여러 문제로 인해 확정을 못 내림."
test_118,Johnson이 새로 온 회원에게 웨이트 사용법을 안내함.
test_119,두 실직자가 전기 기술자 프로그램에 대해 논의하고 지원 방법을 함께 알아보기로 함.
test_120,"두 친구가 강아지 돌봄에 대해 이야기하며, 목욕과 토요일 수의사 예약을 기억하기로 함."
test_121,Tom이 에이든에게 금요일까지 200달러를 빌릴 수 있는지 물어봄. 에이든은 20달러만 빌려줄 수 있다고 함. Tom은 고마워하며 오늘 저녁에 저녁 식사를 제안함.
test_122,"자선 단체에서의 경험을 통해 사랑, 동정심, 평등을 배우고 사고방식이 변화했다고 공유함."
test_123,고객이 직원에게 연락 방법과 결과 통보 시기를 문의함.
test_124,직원이 손님에게 모우탄과 베이징 오리 구이를 추천함.
test_125,"Dan이 Angela에게 친구 결혼식에 같이 가자고 제안하고, Megan도 초대하기로 함."
test_126,두 친구가 디저트를 즐기며 다양한 음식을 시도하고 교환함.
test_127,"면접관이 Smith 씨에게 학력, 나이, 경력, 급여를 질문함."
test_128,고객이 직원 추천으로 디지털 바비 인형을 구매함.
test_129,고객이 조던 운동화를 구매하고 가격 협상을 시도함.
test_130,낯선 사람이 길을 잃은 사람에게 과학박물관 가는 방법을 안내함.
test_131,은퇴한 Simon이 '단계적 은퇴' 제도를 통해 유연하게 프로젝트 업무를 수행하고 있음. 회사는 이 제도로 인해 임시 직원 고용 대신 경험 많은 인력을 활용할 수 있는 이점이 있음.
test_132,"두 친구가 파티에서 춤을 추고 여자에 대한 생각을 나누며, 집안일과 결혼에 대한 대화를 나눔."
test_133,"두 친구가 지난 밤의 폭풍에 대해 이야기하며, 창문 파손과 나무 가지 부러짐을 언급함. 봄 날씨에 대한 기대와 불평을 나누며 대화를 마침."
test_134,"TV 시청을 제안했지만는 지루하다며 거절하고, 대신 음악 활동을 제안함."
test_135,"Ben이 새 학교 생활에 대해 걱정하자, 친구가 안심시키고 학교 일과를 설명해 줌."
test_136,"Adam이 무릎이 나아졌다고 하고, Tom이 미시간 경기 영상을 함께 보기로 함. Adam은 무릎을 쉬고, 다음날 전면 연습을 계획함."
test_137,한 사람이 다른 사람에게 고장난 프린터로 인한 프린트 도움을 요청하고 수락함.
test_138,부부가 함께 커튼을 달기로 함.
test_139,Jack에게 다다음 주말 캠핑 계획 가능 여부를 확인함.
test_140,"부부가 임신 소식을 듣고 기쁨을 나누지만, 남자가 임신 날짜에 다른 곳에 있었음을 알게 되어 혼란에 빠짐."
test_141,두 친구가 딸의 대학 결정 문제로 대화함.
test_142,투자 상담사가 실수로 일자리를 잃을 위기에 처하자 친구가 현실적인 조언과 지원을 제공함. 일자리 잃을 경우와 함께 살며 절약할 계획을 세움.
test_143,한 친구가 다른 친구에게 박사과정 친구가 방문하여 집에서 머물며 실험실에서 멀티모달 텍스트 생성에 관한 강연을 할 예정이라고 말함.
test_144,한 친구가 다른 친구의 집에 가자는 제안을 거절하고 집에서 쉬기로 함. 감기 때문에 자러 갈 계획임.
test_145,Mr. Faber가 요크 호텔에서 3박 동안 더블 룸을 예약함. 조식 포함하여 하룻밤에 130달러.
test_146,"혼자 살 저렴한 원룸을 찾고 있으며, 는 남쪽 더비의 John Godfrey를 소개함. 토요일에 John과 만나기로 함."
test_147,두 사람이 사건 책임을 서로에게 돌리며 다툼.
test_148,"Darlene이 Dan에게 주문한 컴퓨터 배송이 2일 지연됨을 확인하고 Steve에게 상황을 알리기로 함. Dan은 Steve의 전화번호를 알려주고, Darlene은 이해하며 대화를 마침."
test_149,"두 사람이 워싱턴 포스트, 뉴욕 타임스, 로스앤젤레스 타임스의 창간 연혁에 대해 대화함."
test_150,"동료가 컴퓨터 문제를 겪고 있어 상사가 도와줌. 문제의 원인은 이메일 용량 초과였고, 해결책으로 파일 압축을 제안함."
test_151,주말 초대에 대해 감사한에게 부담 없었다며 다음을 기약함.
test_152,두 친구가 중국 음식을 먹기로 하고 Panda Express를 선택함.
test_153,Hans 가구 매장의 메리가 톰에게 다른 후보자에게 영업직을 제안했다고 알림. 톰은 배우고자 하는 의지를 보이며 기회를 요청함.
test_154,반복적인 전화에 대해 경찰에 신고할 것을 경고함.
test_155,"음악 교사 지원자와 면접관이 음악 교사가 되고 싶은 이유, 학력, 음악 취향, 클래식 음악의 이점 등에 대해 대화함."
test_156,Tom이 같은 건물에 사는 미국인 여성에게 호감을 느끼고 저녁 초대를 계획함.
test_157,Mirella의 캐주얼한 복장에 대해 동료들이 논의함. 관리팀이 Mirella에게 새 하얀 드레스를 주어 복장 규정을 상기시킴.
test_158,법률 사무소 개업을 축하하며 도움을 제안함.
test_159,"Peter가 Kate에게 어젯밤 계획을 묻고, 현재 쉬겠다는 대답을 받음."
test_160,두 사람이 현대 교통수단의 발전으로 배와 보트의 중요성이 감소하는 것에 대해 이야기함.
test_161,"Andy가 Fanny에게 악몽을 꾼 이야기를 하고, 대학 입학에 대한 걱정을 공유함."
test_162,두 친구가 밴드를 시작하고 힙합 음악을 하기로 함.
test_163,두 친구가 뉴올리언스에서 강변 저녁 유람선 투어 대신 Sanger Theater에서 쇼를 보기로 결정함.
test_164,고객이 직원에게 신용카드를 사용해 구매를 완료함.
test_165,Blake씨가 Foster씨에게 교육 매뉴얼을 내일 오후에 전달하기로 함.
test_166,"여행 계획 중인 사람이 금요일에 롱아일랜드에서 출발하여 솔트레이크시티로 가서 형의 생일을 축하하고, 호텔에서 묵으며 현지 음식을 즐기고, 파이브 레이크 스트릿과 월 스트리트를 방문할 계획임."
test_167,"파멜라를 돌봐달라고 부탁하고, 진정한 친구임을 확인함. 비행기를 타러 가고, 사업 성공을 기원함."
test_168,낯선 사람에게 도시의 번화한 거리로 가는 방법을 물어봄.
test_169,"두 사람이 이슬람의 성지순례(하즈)에 대해 이야기하며, 순례의 의미와 위험성, 그리고 다른 종교의 순례에 대해 논의함."
test_170,행인이 길을 잃은 사람에게 중앙 백화점과 국가 은행의 위치를 안내함.
test_171,두 친구가 런던 여행 방법을 논의함. 기차와 자동차의 장단점을 비교하다가 고속버스를 제안함.
test_172,"Tom과 Catherine이 패스트푸드점에 대한 의견을 나누며, 미국인의 대다수가 패스트푸드를 피하는 경향이 있다는 사실에 대해 이야기함."
test_173,"손님이 웨이터에게 레모네이드와 바비큐 윙을 주문하고, 나중에 베이비 백 립을 추가로 주문함."
test_174,"손님이 패스트푸드점에서 더블 치즈버거, 큰 사이즈 컬리프라이, 중간 사이즈 펩시를 주문함. 총 금액은 $5.48."
test_175,두 친구가 아침 식사 메뉴와 요리 방식에 대해 농담하며 대화함.
test_176,"택시 기사가 손님에게 그랜드 호텔의 위치를 물어보고, 손님이 위치를 알려줌."
test_177,관광객이 경찰관에게 사진 촬영을 요청함.
test_178,직원이 손님에게 호텔 예약 문의에 대한 정보 제공함.
test_179,두 친구가 미국 비자 신청 과정에 대해 이야기함.
test_180,Anne이 상대방과의 만남을 거절하고 친구들과의 약속을 우선시함.
test_181,Mary가 인터넷 쇼핑의 장점을 설명함.
test_182,"미국식 회계에 대해 질문하고, 가 기본적인 회계 개념들을 설명함."
test_183,"Tom과 Mary가 여름에 시안 여행 계획 및 비용에 대해 논의함. Tom은 7월 16일 출발, 일주일 일정으로 2,000위안 예산으로 여행할 계획이며, Mary도 관심을 표현함."
test_184,고객이 직원에게 로맨스 영화 대여를 문의하고 회원 카드 발급 및 대여 절차에 대해 안내받음.
test_185,직원이 Mr. Lee의 소포를 전달하며 전달 사항을 요청함.
test_186,공항 직원이 여행객에게 공항 호텔 객실을 제공함. 여행객은 방 공유에 대해 불만을 표현함.
test_187,"두 동료가 식사 비용을 각자 내기로 합의하고, 한 명이 식당을 찾기로 함."
test_188,Tom이 Mary에게 불면증 극복을 위한 스트레스 관리 방법을 제안함.
test_189,현대식 주방으로 리모델링 제안함. 현재 주방에 만족함.
test_190,두 친구가 새 선생님 Professor Wood에 대해 이야기하며 그의 뛰어난 능력과 덤벙거리는 면을 언급함.
test_191,의사가 환자에게 검사 결과 상담을 위해 오후 방문을 예약함.
test_192,Eliza 선생님이 Martin에게 시험 준비 상황과 학생 복지회의 도움에 대해 이야기함.
test_193,고객이 직원에게 소포 우편으로 한국 발송을 요청함.
test_194,Linda가 Tom의 잃어버린 휴대폰을 찾기 위해 빵집과 여동생에게 연락함.
test_195,미국에서 온 관광객이 카페에서 현지과 대화를 나눔.
test_196,"한 친구가 여름 방학에 쉬고 싶어하고, 다른 친구는 사업 수업과 아르바이트로 경험을 쌓으려 함."
test_197,우유 배달 중 개와 가지로 인한 사고를 Mary에게 이야기함.
test_198,"회사 생활 변화에 대해 질문함. 열정 감소, 근무 시간 증가, 수입 증가, 승진 준비, 여행 기회 부족을 언급함."
test_199,고객이 직원에게 사업용 통장 개설 문의 및 사용 방법 질문함.
test_200,Tom이 Mary에게 베이징 오리구이를 먹을 수 있는 전취덕 식당을 추천받음.
test_201,"상사와의 회의 결과설명함. 가격 합의 후 배송 지연 우려가 있었으나, 는 오클랜드와 협의하여 다음 달 첫 배로 배송하기로 함. 계약서 작성을 제안하고는 동의함."
test_202,"손님이 503호에서 독서등을 깨뜨렸고, 직원에게 변상 및 교체 요청함."
test_203,"연사가 2006 회계연도 마케팅 계획에 대해 설명함. 젊은 소비자 유치와 해외 시장 유통 두 배 증가가 목표였으며, 매출 데이터를 통해 목표 달성 여부를 평가함."
test_204,"두 친구가 유럽 여행 계획에 대해 이야기함. 파리, 니스, 밀라노, 에든버러 방문 및 페스티벌 참석 예정."
test_205,"고객(Jimmy Fox)이 렌터카 예약을 했으나 차가 없어 작은 차로 변경하고, 직원은 할인 제공으로 사과함."
test_206,엄마가 아아빠가 일하는 동안 조용히 카드게임을 5분만 허락함.
test_207,"Mr. Jones가 Ann에게 커피를 제안하고 이번 주 일정을 확인함. Ann은 Mr. Jones의 오후 5시 회계사와의 회의, 수요일 런던 회의(오전 9시 30분 기차), 목요일 Ms. Von과의 만남을 알려줌. Ms. Von은 새로운 프로젝트 매니저로 다음 주부터 근무함."
test_208,"두 친구가 지형과 지리학에 대해 이야기하며, 세계의 지형과 기후에 대한 흥미를 나눔."
test_209,호텔 접수 직원이 금연 방 문제로 방을 바꿔주기로 함.
test_210,"Bill이 젖은 페인트에 손을 대고, John Sampson은 젖은 시멘트를 걸어갔음. 작업자들이 주의를 주는 표지판을 설치하지 않아 문제가 발생함."
test_211,두 친구가 즐거운 시간을 보낸 후 연락처를 교환하고 조만간 다시 만나기로 약속함.
test_212,"Jim이 Bill에게 Dick의 안부를 묻고, Bill은 Dick이 아프다가 회복되어 William 박사의 허락으로 일에 복귀했다고 답함."
test_213,두 친구가 과도한 근무 시간과 부족한 보상에 대해 논의함.
test_214,Lisa가 Tom에게 남편이 바람을 피우고 있다는 사실을 알게 되었다고 털어놓음. Tom은 Lisa를 지지하며 그녀의 결정을 동의함.
test_215,"한 사람이 의사로부터 너무 많이 먹고 있다는 진단을 받고, 빨간 고기를 줄이고 식단을 정리하라는 조언을 받음. 상대방은 그 사람이 다이어트를 시작해야 한다고 동의함."
test_216,"두 사람 사이에 갈등 발생, 한 명은 떠나려 하고 다른 한 명은 머물기를 간청함."
test_217,도서관 직원이 학생에게 도서관 이용 방법과 책 대출 절차를 설명함.
test_218,"두 친구가 좋은 날씨에 밖에서 점심을 먹고, 주말에 해변에 가기로 계획함."
test_219,박물관 직원이 사진 촬영 금지 규칙을 상기시키고 카메라를 잠시 보관함. 방문객은 나중에 카메라를 돌려받고 기념품 구매 방법을 문의함.
test_220,고객이 직원에게 대출 정보 문의함.
test_221,"모니카의 성공적인 발표를 축하하고, 모니카는 동료들의 지원을 인정함."
test_222,Tom과 친구가 내일 아침 6시 반에 함께 뛰기로 계획함.
test_223,손님이 레스토랑에 전화하여 영업 시간과 메뉴를 문의함.
test_224,Simpson 씨에게 목요일 12시 30분에 점심 초대를 함.
test_225,고객이 비서에게 데이트 상대와 갈 고급 레스토랑 예약을 요청함. 비서는 그레이머시 타번을 추천하고 예약을 진행함.
test_226,"손님이 식당에서 식사 후 거스름돈을 제안했으나, 식당은 팁을 받지 않는다고 함."
test_227,"두 사람이 각국의 인기 스포츠에 대해 이야기함. 축구, 농구, 테니스, 수영, 골프, 익스트림 스포츠, 럭비 등 다양한 스포츠에 대한 관심과 인기 변화를 공유함."
test_228,"고객이 여행사를 통해 22일 출발, 29일 귀국하는 핀란드 헬싱키행 비행기 예약을 저렴한 가격으로 완료하고 채식 기내식을 요청함."
test_229,"할머니를 만나러 플로리다에 가며, 할머니가를 디즈니 월드에 데려갈 예정임."
test_230,"호주 여행에 대해 이야기하고, 는 그레이트 배리어 리프에 관심을 표현함."
test_231,Tom과 Mary가 운동 습관과 헬스장 방문에 대해 이야기함.
test_232,"출생지와 생활 경험에 대해 물어봄. 시카고에서 태어나 로스앤젤레스로 이사, 링컨 고등학교를 졸업하고 유럽, 특히 뮌헨에서 2년간 생활했다고 설명함."
test_233,두 친구가 새 정장에 대해 이야기하며 구매 장소와 가격에 대해 논의함.
test_234,라디오 진행자가 Martha Bicycle Club 회장으로부터 mountain lake cycle tour에 대해 소개받음.
test_235,손님이 바텐더에게 음료를 주문하고 추천을 받음.
test_236,"Tom이 Gregory에게 점심을 제안하고, Gregory가 수락함. Tom이 지난 주말 번지 점프를 했다고 하고, Gregory가 흥미를 보이지 않음. Tom이 Gregory에게 모험을 권유하고, Gregory가 거절함. Tom이 잃어버린 지갑을 찾음."
test_237,"한 동료가 다른 동료에게 2차 세계대전, 특히 노르망디 상륙작전에 대한 인터넷 검색을 도와줌."
test_238,경험 많은 회원이 처음 온 회원에게 운동 기구 사용법과 운동 계획을 안내함.
test_239,"캠퍼스 내 주차 위치를 묻고, 가 서쪽 학생 주차 건물을 추천함."
test_240,"Emily가 Susan에게 미국에서의 첫 급여 명세서에 대해 질문함. Susan은 FICA, SUI 세금, Medicare, 건강 보험 계획 공제 등을 설명함."
test_241,직원이 고객에게 자판기 사용법을 안내함.
test_242,인터넷으로 만난 여자친구를 태국에서 만나기로 한에게 축하를 전함.
test_243,"케이트가 집을 새로 꾸미고 제임스를 초대해 구경시킴. 제임스는 가구와 러그를 칭찬하고, 케이트는 여행 중 구입한 러그에 대해 이야기함."
test_244,Bill의 상사가 Bill에게 엄격한 운동 일정을 제시함.
test_245,두 친구가 과학 과목 등록에 대해 논의함.
test_246,"Tom이 Mary에게 환경친화적인 생활 방식에 대해 이야기하고, 자신의 경험을 공유함. 또한, 학교에서 환경 보호를 위한 실천 방법과 개선점을 제안함."
